=> Building model...
model depth 20...
=> loading cifar100 data...
Files already downloaded and verified
Files already downloaded and verified
Epoch: [0][620/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.9009 (4.0838)	Prec 4.688% (6.607%)
Epoch: [0][630/782]	Time 0.017 (0.016)	Data 0.001 (0.002)	Loss 3.8837 (4.0779)	Prec 7.812% (6.671%)
Epoch: [0][640/782]	Time 0.016 (0.016)	Data 0.001 (0.002)	Loss 4.0522 (4.0729)	Prec 7.812% (6.735%)
Epoch: [0][650/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.7726 (4.0679)	Prec 9.375% (6.800%)
Epoch: [0][660/782]	Time 0.017 (0.016)	Data 0.001 (0.002)	Loss 3.7726 (4.0633)	Prec 7.812% (6.843%)
Epoch: [0][670/782]	Time 0.019 (0.016)	Data 0.001 (0.002)	Loss 3.9153 (4.0592)	Prec 10.938% (6.942%)
Epoch: [0][680/782]	Time 0.018 (0.016)	Data 0.001 (0.002)	Loss 3.5070 (4.0554)	Prec 17.188% (7.007%)
Epoch: [0][690/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.7329 (4.0511)	Prec 10.938% (7.057%)
Epoch: [0][700/782]	Time 0.017 (0.016)	Data 0.002 (0.002)	Loss 3.5494 (4.0450)	Prec 17.188% (7.119%)
Epoch: [0][710/782]	Time 0.020 (0.016)	Data 0.001 (0.002)	Loss 3.7083 (4.0401)	Prec 10.938% (7.188%)
Epoch: [0][720/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.8382 (4.0364)	Prec 10.938% (7.238%)
Epoch: [0][730/782]	Time 0.013 (0.016)	Data 0.001 (0.002)	Loss 3.7821 (4.0314)	Prec 14.062% (7.304%)
Epoch: [0][740/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.8638 (4.0271)	Prec 15.625% (7.346%)
Epoch: [0][750/782]	Time 0.014 (0.016)	Data 0.001 (0.002)	Loss 3.7021 (4.0227)	Prec 4.688% (7.398%)
Epoch: [0][760/782]	Time 0.015 (0.016)	Data 0.002 (0.002)	Loss 3.7650 (4.0174)	Prec 14.062% (7.476%)
Epoch: [0][770/782]	Time 0.019 (0.016)	Data 0.002 (0.002)	Loss 3.6489 (4.0130)	Prec 14.062% (7.519%)
Epoch: [0][780/782]	Time 0.014 (0.016)	Data 0.002 (0.002)	Loss 3.6430 (4.0088)	Prec 15.625% (7.570%)
Test: [0/100]	Time 0.150 (0.150)	Loss 3.7910 (3.7910)	Prec 15.000% (15.000%)
Test: [10/100]	Time 0.006 (0.022)	Loss 3.6032 (3.6945)	Prec 15.000% (13.091%)
